new,previous,datum,stratum,parameter,probability,point_difference,lower,upper,primary_classification
A_CN,A0_CN,191,representative,log10_Agw,0.5,-0.027892859416803556,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,log10_Agw,0.9,1.9638402397381682e-05,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,log10_Agw,0.95,0.01628832186410667,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,gamma_gw,0.05,-0.0045919693553456015,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,gamma_gw,0.5,-0.03998063817508002,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,gamma_gw,0.9,-0.026695294491129506,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,gamma_gw,0.95,-0.016630893481889952,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,log10_Ar,0.05,0.003113880295175439,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,log10_Ar,0.5,0.030789947119542138,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,log10_Ar,0.9,0.04066649566499214,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,log10_Ar,0.95,0.03530032428151775,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,log10_EFAC,0.05,0.060783762319592594,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,log10_EFAC,0.5,0.029097577516778883,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,log10_EFAC,0.9,0.003738141954938823,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,191,representative,log10_EFAC,0.95,-0.0033694002666115885,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,u,0.05,-0.0019408711579229493,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,u,0.5,-0.006484689381898168,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,u,0.9,-0.0010854540113607314,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,u,0.95,-0.0006591510935016753,-1.0,1.0,inconclusive
A_CN,A0_CN,197,representative,log10_Agw,0.05,0.0006201278134638256,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,log10_Agw,0.5,0.005180706740183616,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,log10_Agw,0.9,0.010980819468578429,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,log10_Agw,0.95,0.010954966220487916,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,gamma_gw,0.05,0.001534884231916618,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,gamma_gw,0.5,0.01682965180879048,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,gamma_gw,0.9,0.03416511428449842,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,gamma_gw,0.95,0.03377760125814977,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,log10_Ar,0.05,0.0008709327217675117,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,log10_Ar,0.5,0.011508180370038146,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,log10_Ar,0.9,0.015013775356511383,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,log10_Ar,0.95,0.012615897190323466,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,197,representative,log10_EFAC,0.05,-0.0011217432804351243,-1.0,1.0,descriptive_secondary
