new,previous,datum,stratum,parameter,point_width_difference,lower,upper
B_CN,A_CN,453,stress,log10_EFAC,0.15570932186085104,-0.7557422476477786,1.2627577523522213
B_CN,A_CN,458,stress,u,0.002863592623397526,-2.0,2.0
B_CN,A_CN,458,stress,log10_Agw,0.13633805269340682,-2.0,2.0
B_CN,A_CN,458,stress,gamma_gw,0.00658668413901764,-2.0,2.0
B_CN,A_CN,458,stress,log10_Ar,0.07974307220680799,-2.0,2.0
B_CN,A_CN,458,stress,log10_EFAC,0.07712875189044,-2.0,2.0
B_CN,A_CN,461,representative,u,0.05163993525592536,-2.0,2.0
B_CN,A_CN,461,representative,log10_Agw,0.15268919009015958,-2.0,2.0
B_CN,A_CN,461,representative,gamma_gw,0.2346752052472234,-2.0,2.0
B_CN,A_CN,461,representative,log10_Ar,-0.0019605965541947823,-2.0,2.0
B_CN,A_CN,461,representative,log10_EFAC,0.39380783911801925,-2.0,2.0
B_CN,A_CN,463,representative,u,0.004520288813011808,-2.0,2.0
B_CN,A_CN,463,representative,log10_Agw,-0.053598865276992536,-2.0,2.0
B_CN,A_CN,463,representative,gamma_gw,0.0049190983390328125,-2.0,2.0
B_CN,A_CN,463,representative,log10_Ar,0.10504162015184781,-2.0,2.0
B_CN,A_CN,463,representative,log10_EFAC,0.03824196906635213,-2.0,2.0
B_CN,A_CN,479,representative,u,0.04196612936310373,-2.0,2.0
B_CN,A_CN,479,representative,log10_Agw,0.018213251953219434,-2.0,2.0
B_CN,A_CN,479,representative,gamma_gw,0.10255311173221138,-2.0,2.0
B_CN,A_CN,479,representative,log10_Ar,0.07856374716561942,-2.0,2.0
B_CN,A_CN,479,representative,log10_EFAC,0.11847668405920525,-2.0,2.0
B_CN,A_CN,489,representative,u,0.017603837198766237,-2.0,2.0
B_CN,A_CN,489,representative,log10_Agw,0.1943723028355726,-2.0,2.0
B_CN,A_CN,489,representative,gamma_gw,0.4487236408928602,-2.0,2.0
B_CN,A_CN,489,representative,log10_Ar,0.027765656807220984,-2.0,2.0
B_CN,A_CN,489,representative,log10_EFAC,0.18658246338260567,-2.0,2.0
B_G,A_G,25,representative,u,0.0005392513207098659,-2.0,2.0
B_G,A_G,25,representative,log10_Agw,0.11115510466933631,-2.0,2.0
B_G,A_G,25,representative,gamma_gw,-0.001349878359209855,-2.0,2.0
B_G,A_G,25,representative,log10_Ar,0.1492919001692481,-2.0,2.0
B_G,A_G,25,representative,log10_EFAC,0.07605965613193433,-2.0,2.0
B_G,A_G,26,representative,u,0.018719882934457366,-2.0,2.0
B_G,A_G,26,representative,log10_Agw,0.08092199964950908,-2.0,2.0
B_G,A_G,26,representative,gamma_gw,0.00589532984591179,-2.0,2.0
B_G,A_G,26,representative,log10_Ar,0.10251758292919155,-2.0,2.0
B_G,A_G,26,representative,log10_EFAC,0.1944353797603542,-2.0,2.0
B_G,A_G,30,stress,u,0.05833497854205605,-1.8310605727343212,0.21293942726567872
B_G,A_G,30,stress,log10_Agw,0.07938206325408592,-1.163153754520648,0.856846245479352
B_G,A_G,30,stress,gamma_gw,0.1808359647888529,-1.4920510302274885,0.5479489697725114
B_G,A_G,30,stress,log10_Ar,-0.012524412837000898,-1.9211959205584885,0.10680407944151138
B_G,A_G,30,stress,log10_EFAC,0.41673911641915934,-1.2671927439991304,0.7528072560008696
B_G,A_G,44,representative,u,0.006906209523992013,-2.0,2.0
B_G,A_G,44,representative,log10_Agw,-0.18493278886556597,-2.0,2.0
B_G,A_G,44,representative,gamma_gw,0.0066357647987497215,-2.0,2.0
B_G,A_G,44,representative,log10_Ar,0.012999834825420886,-2.0,2.0
B_G,A_G,44,representative,log10_EFAC,0.0047655419957242096,-2.0,2.0
B_G,A_G,48,representative,u,0.0009443110392461929,-2.0,2.0
B_G,A_G,48,representative,log10_Agw,0.06038647338512687,-2.0,2.0
