u,eta_index,quantity,actual_Frobenius,first_order_Frobenius,remainder_Frobenius,relative_remainder
0.002,12,mean,0.00017012659911269496,0.00017022991121921533,1.0359433878659238e-07,0.0006089249966019105
0.002,12,covariance,0.000194141766159004,0.0001942584957221635,1.1705121433884586e-07,0.0006029161918872201
0.002,13,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,13,C,0.0014062392727366522,0.0014070672771557824,8.732635013667287e-07,0.0006209921158490256
0.002,13,mean,0.00017012659911257923,0.00017022991121921533,1.0359433961865523e-07,0.0006089250014931699
0.002,13,covariance,0.0002723852866247109,0.00027255676858981476,1.7205616329104917e-07,0.0006316646740471927
0.002,14,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,14,C,0.0014062392727352288,0.0014070672771557824,8.732635027413001e-07,0.0006209921168271347
0.002,14,mean,0.00017012659911766026,0.00017022991121921533,1.0359433419597447e-07,0.0006089249696005984
0.002,14,covariance,0.00020198633264850352,0.00020210717593307066,1.211540766116149e-07,0.0005998132399504829
0.002,15,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,15,C,0.0014062392727357282,0.0014070672771557824,8.732635022479842e-07,0.000620992116476109
0.002,15,mean,0.00017012659911269496,0.00017022991121921533,1.0359433878659238e-07,0.0006089249966019105
0.002,15,covariance,0.00028048713191645167,0.00028066283388730246,1.762678352867279e-07,0.0006284346596664283
0.004,0,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,0,C,8.184928714195866e-08,8.20529606751942e-08,2.163077351166049e-10,0.0026427564939135355
0.004,0,mean,1.2475925142504677e-08,1.2508788284258104e-08,3.295126017467157e-11,0.002641187711395345
0.004,0,covariance,4.5664570350054113e-10,4.5802338616635105e-10,1.379556106932067e-12,0.003021064462791846
0.004,1,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,1,C,8.184928705569123e-08,8.20529606751942e-08,2.1630777468467096e-10,0.0026427569801248554
0.004,1,mean,1.2475925489063425e-08,1.2508788284258104e-08,3.29508944389891e-11,0.002641158322713159
0.004,1,covariance,7.304357709680076e-09,7.326395518439865e-09,2.206774361957238e-11,0.00302117509802774
0.004,2,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,2,C,8.184928709662449e-08,8.20529606751942e-08,2.1630779054243137e-10,0.0026427571725466136
0.004,2,mean,1.2475925407948562e-08,1.2508788284258104e-08,3.295099209188904e-11,0.0026411661671923406
0.004,2,covariance,9.098421097605138e-10,9.12171940358821e-10,2.3355060704028664e-12,0.0025669355653560725
0.004,3,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,3,C,8.184928594499836e-08,8.20529606751942e-08,2.1630893971207291e-10,0.002642771249799658
0.004,3,mean,1.2475925489063425e-08,1.2508788284258104e-08,3.29508944389891e-11,0.002641158322713159
0.004,3,covariance,7.747146642357972e-09,7.770114859583775e-09,2.30028461571442e-11,0.0029692023681822167
0.004,4,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,4,C,5.615040496296857e-07,5.62826910862313e-07,1.3951865537911858e-09,0.002484731062423
0.004,4,mean,6.792691620456678e-08,6.809196448768613e-08,1.6549839008954947e-10,0.002436418423458813
0.004,4,covariance,2.3606786835026157e-09,2.3671969586260195e-09,6.5279547020704155e-12,0.002765287265772518
0.004,5,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,5,C,5.615040493939518e-07,5.62826910862313e-07,1.3951868000224146e-09,0.0024847315019869967
0.004,5,mean,6.792691637302804e-08,6.809196448768613e-08,1.654982116848229e-10,0.002436415790994714
0.004,5,covariance,3.767680862088288e-08,3.7780872428923255e-08,1.0421734725112766e-10,0.0027660874438649717
0.004,6,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,6,C,5.615040495842541e-07,5.62826910862313e-07,1.3951865736957733e-09,0.0024847310980727387
0.004,6,mean,6.792691629185896e-08,6.809196448768613e-08,1.6549830938086345e-10,0.0024364172321583574
0.004,6,covariance,5.552998406421717e-09,5.566095908790654e-09,1.3126696938726122e-11,0.002363893518057896
