contrast_index,new_model,old_model,group,u_bin,gamma_bin,parameter,quantity,probability,units,n,mean,median,std_between_datasets,empirical_p05,empirical_p25,empirical_p75,empirical_p95,minimum,maximum,both_parameter_PIT_functions_resolved,both_LOW_cut_CDF_precision,all_bin_datasets_retained
0,A_CN,A0_CN,u,0,-1,gamma_gw,quantile,0.95,fraction_prior_width,243,-0.01839599099683417,-0.0025674734565354074,0.06400196815243957,-0.1519420163911221,-0.020578495716868817,0.008881596198984876,0.03969046490797279,-0.3852063839612298,0.10001139898988942,235,242,True
0,A_CN,A0_CN,u,0,-1,gamma_gw,central90_width,,fraction_prior_width,243,-0.018625758307879374,-0.0007860322959598598,0.078345115221614,-0.16761363208462854,-0.026805587776325968,0.00835989984758767,0.07747081685852802,-0.3777936296286376,0.27876276759596785,235,241,True
0,A_CN,A0_CN,u,0,-1,log10_Ar,quantile,0.05,fraction_prior_width,243,-0.00998536819865307,-0.0005418225024774494,0.12056192591724431,-0.1801495279139822,-0.007304015108416207,0.00839936643046913,0.048929556768156995,-0.7962906139871271,0.5367397038581547,235,243,True
0,A_CN,A0_CN,u,0,-1,log10_Ar,quantile,0.5,fraction_prior_width,243,0.0024482977141412334,0.0023081159435014986,0.15892979698004653,-0.2742649825635275,-0.057171228165762755,0.06431346865664125,0.30314830492598155,-0.4921897627539408,0.5653772119528162,235,239,True
0,A_CN,A0_CN,u,0,-1,log10_Ar,quantile,0.9,fraction_prior_width,243,0.006618941926923543,-0.0007084726572504918,0.07602249768082446,-0.11469488716955255,-0.040777839756222733,0.04088337344521914,0.14920126130661,-0.15850550926706553,0.3309267576409487,235,241,True
0,A_CN,A0_CN,u,0,-1,log10_Ar,quantile,0.95,fraction_prior_width,243,0.0008746902619019682,-0.003666133819345996,0.06138157760652463,-0.09304727170399144,-0.040017288761845404,0.029586948248046585,0.10778012269000602,-0.1298377875030391,0.28643003693862445,235,241,True
0,A_CN,A0_CN,u,0,-1,log10_Ar,central90_width,,fraction_prior_width,243,0.010860058460555039,0.0027469921824876398,0.11962511591513292,-0.08482606814864035,-0.030475129392049605,0.039122456688984675,0.14092345182454702,-0.5642036621990048,0.7904105973577056,235,241,True
0,A_CN,A0_CN,u,0,-1,log10_EFAC,quantile,0.05,fraction_prior_width,243,0.014208525078720502,0.01200026749410404,0.05138876634484354,-0.0729011078051754,-0.015148584582278777,0.04384978295733721,0.08806271134341581,-0.14633681632099826,0.21762989795971338,236,243,True
0,A_CN,A0_CN,u,0,-1,log10_EFAC,quantile,0.5,fraction_prior_width,243,-0.025417420879914922,-0.023368527356830704,0.0506208450690275,-0.11570691655290305,-0.05559008890890496,0.011158526659047596,0.04529016505714762,-0.15945391701431477,0.12515369311641683,236,242,True
0,A_CN,A0_CN,u,0,-1,log10_EFAC,quantile,0.9,fraction_prior_width,243,-0.05456667407010845,-0.04716699086649154,0.05235167921619043,-0.14812633382564594,-0.0890884499084316,-0.013020450032400072,0.013111772829903936,-0.23956910998947414,0.06114033081462067,236,242,True
0,A_CN,A0_CN,u,0,-1,log10_EFAC,quantile,0.95,fraction_prior_width,243,-0.06194246846172506,-0.05520352644582116,0.053344499740663215,-0.15827500723989646,-0.09908046769707812,-0.020938394338511357,0.006967176556936776,-0.2569848857660012,0.05105735955401253,236,243,True
